,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,V1,V2,V3,V4,V5,V6,Sell Price
20,20.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5659036007171152,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
21,21.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5575780226207522,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
22,22.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.549252444524389,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
23,23.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.540926866428026,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
24,24.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5326012883316629,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
25,25.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5242757102352998,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
26,26.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5159501321389368,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
27,27.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.5076245540425737,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
28,28.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.49929897594621064,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
29,29.0,-8.930292764202867e-18,-1.4001087823340643e-15,-4.565562428714284e-16,-7.692357254112253e-17,-5.970504041581418e-16,1348.7436516108214,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.49097339784984756,-1348.7436516239534,-3.3925980594517233e-09,-1.7255471306279036e-09,-1348.7436516162963,-1348.7436516150842,-1348.743651610821,114.0,114.00000000000044,114.00000000000136,118.09209643494037,122.09042122674371,126.0,13.487436516108215
