,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,V1,V2,V3,V4,V5,V6,V7,V8,V9,Sell Price
25,25.0,3.733919520316727e-11,-999.9999999994242,2.199701648572558e-10,5.600194217152347e-12,1116.438844932629,1.303474055267339e-10,1.5185145619091578e-10,2.3770013083819114e-10,883.5611550660126,0.7999999999999998,0.756940516711266,0.7999999999999994,0.8000000000000002,0.4293897462910254,0.7999999999999996,0.7999999999999995,0.7999999999999992,0.5198425765035759,662.9385251929998,1369.5274491032044,184.77220693778,-562.1458632397652,-746.8844397457596,184.84399246486967,-329.19020387740204,-513.9519541712502,-698.7264248100125,120.06732707655003,116.00643868740649,115.44762133573197,121.69496758525013,123.82440891600132,123.30082501212917,121.02312247674584,122.50045935400121,124.48080590720929,-9.99999999996134
26,26.0,-2.9953428425906624e-11,-1000.0,-1.6117066061168612e-10,1.528378124430337e-11,1115.4909246690654,-9.918505299927193e-11,-1.0208371696095154e-10,-1.9919828604224205e-10,884.5090753319034,0.8,0.7631133562174389,0.8000000000000003,0.8,0.42250399984245085,0.8000000000000003,0.8000000000000002,0.8000000000000004,0.5143826439397987,724.8675667520001,1383.2035638645536,191.5911893281612,-540.5396318849814,-732.1317077249661,191.64904367409918,-309.5000799356022,-501.21220188870427,-692.9026179599034,119.11586347046166,114.97976533115936,114.39507245978194,120.6936894482605,122.79844814996899,122.25098992428958,120.0218271243551,121.47463738406744,123.45492845635044,-9.999999999998057
27,27.0,-9.003538720239428e-12,-1000.0,-2.1579152672284496e-10,-6.1162017664194e-11,1114.4920541683477,-1.478403527932516e-10,-2.1303683172616305e-10,-2.4637978252905104e-10,885.5079458341398,0.8,0.7692861957236118,0.8000000000000016,0.8000000000000004,0.4156244192611647,0.8000000000000013,0.8000000000000015,0.8000000000000019,0.5089165455087238,787.024454996,1397.05925937881,198.5119371182158,-518.8516167431388,-717.3785207141999,198.60593593514784,-289.7788955216804,-488.3990470648934,-686.9998584301399,118.8080893907051,114.61858759862908,114.01079890572584,120.32688077229449,122.39576463624022,121.82651208064404,119.65871189150813,121.07884482633774,123.04871622809183,-10.00000000006489
28,28.0,7.532672585906985e-12,-999.9999999988537,4.0916752810564204e-10,8.13277742135681e-11,1113.531260136521,4.0633218532687267e-10,3.1083333837161203e-10,5.050384770384974e-10,886.4687398606123,0.8,0.7754590352297775,0.799999999999999,0.7999999999999998,0.4087507695072356,0.7999999999999986,0.7999999999999996,0.7999999999999988,0.5034445162503249,848.4166376060002,1410.7629877764446,205.43719693159085,-497.3941110040087,-702.8028774459274,205.36152364159364,-270.37696338542816,-475.7268649551173,-681.1127449066123,118.871409669114,114.64239157176608,114.01347248216955,120.32700409476735,122.35419865555262,121.76533522350965,119.6648482683567,121.04827432293423,123.00188469289327,-9.999999999856897
29,29.0,1.5132167336938627e-11,-999.9999999986322,1.1200357268361537e-10,6.097960771028528e-11,1112.551541404223,2.3362126040561406e-10,-3.3104796180090826e-11,1.0850283606579087e-10,887.4484585939123,0.7999999999999998,0.781631874735942,0.7999999999999984,0.7999999999999995,0.4018831673998021,0.7999999999999972,0.7999999999999998,0.7999999999999982,0.4979664393454243,909.984801626,1424.4383105365202,212.28438775488803,-475.92655878451745,-688.1629514384565,212.17323616476637,-250.78948178298762,-463.0828839830208,-675.2795944669123,118.94857712145837,114.68067484037563,114.03095242264509,120.34081847140934,122.32590345620022,121.71731754791625,119.6842372096995,121.0308830640169,122.9681681224152,-9.999999999904084
30,30.0,4.769437044023741e-11,-999.9999999963611,3.3619883518629174e-10,5.87708573539826e-11,1111.5775309816597,8.330164463915946e-10,-1.4134926832796083e-10,3.9394862557122585e-10,888.4224690131733,0.7999999999999996,0.7878047142420923,0.7999999999999964,0.799999999999999,0.39502157770238444,0.799999999999992,0.8000000000000007,0.7999999999999957,0.49248235003052815,971.662141691,1438.139934459025,219.07916418266385,-454.3459024345515,-673.3861983594927,219.102391298167,-231.2343874304258,-450.26144576856717,-669.3527787671733,119.0017442151281,114.69401541545864,114.02351405387225,120.3306164612604,122.27357685452155,121.64479406406947,119.67990306414887,120.98951280785478,122.91057381128395,-9.99999999983812
31,31.0,-3.519381906654779e-11,-1000.0,-9.651848830310321e-10,-2.0656080940355028e-10,1110.5959984911703,-1.7947818439162974e-09,-2.6772989834336675e-10,-1.1218290863124569e-09,889.4040015146431,0.7999999999999998,0.7939775537482652,0.8000000000000023,0.8000000000000003,0.38816604684750067,0.8000000000000032,0.8000000000000023,0.8000000000000026,0.48699220187303033,1032.229398485,1451.585823603387,225.78453496596524,-433.16147353516874,-659.0352439323754,225.7900112177948,-211.96511656625358,-437.7852334845213,-663.5962492676431,121.42054821506794,117.16159546679631,116.48515046068769,122.66280023023376,124.5290617931209,123.89283362334753,122.0300172516745,123.27925524549185,125.1490796944608,-10.000000000281045
32,32.0,-4.019349772715203e-11,-975.6362924224396,3.193470362527493e-10,2.167554839475091e-11,1095.758545368412,4.752414050458839e-10,3.71006299224282e-10,3.6156925009385185e-10,879.8777470525185,0.8000000000000002,0.7999999999977865,0.8000000000000003,0.8000000000000002,0.381402105209424,0.8000000000000002,0.8,0.8000000000000003,0.4815608577554222,1093.1588835080006,1440.83841445512,232.62039137668066,-398.05779743790873,-630.5837197148871,232.64884150152474,-182.23480716925096,-414.86422945787996,-647.3808568555185,119.37505502168128,115.073093602763,114.36337961667003,120.53648501443818,122.35380183482742,121.68647679337728,119.90816538688199,121.1130591103548,122.96966978432972,-9.5127258483938
33,33.0,2.0347033800897355e-11,-3.5864498528740026e-07,-2.1353542015872406e-11,1.3064595506811288e-11,537.2413864660294,1.2022141587842566e-05,-2.355693473260591e-11,-3.2830104507934895e-11,462.7586018705182,0.8,0.8000000000000004,0.8000000000000004,0.8,0.37808580035469547,0.7999999999257894,0.8000000000000002,0.8000000000000005,0.47870432317597456,1153.8484162250002,478.62852205966635,239.29637255702133,180.73040134281595,-58.551716468171,239.33269082885843,255.17099247853818,15.95705058851462,-223.4012103995182,116.93771152076246,115.49627011410884,114.76881523079861,116.39552008034508,116.57145146347408,115.85063837848186,116.17146242076689,116.12337725697935,116.79477553746955,10.00000011305956
34,34.0,-1.3457583852988013e-12,5.2229797310038295e-11,2.6104893684382568e-11,-4.555246726860119e-12,536.2317556028087,4.718987774345734e-06,8.468887649371197e-12,2.0511315898712787e-11,463.7682396781023,0.8,0.8000000000000002,0.8000000000000003,0.8,0.374775727789246,0.7999999998966598,0.8000000000000002,0.8000000000000004,0.47584155626438135,1213.670641325,491.85721394692166,245.9349032249739,201.57803689720814,-44.33131789279644,245.91556558801224,274.1986243738687,28.291389008877182,-217.7189480911023,116.87518037473824,115.3928409298623,114.64446478398696,116.26995812248913,116.40332935243383,115.66155017286468,116.05114713162885,115.96579141392927,116.6210445928355,10.000000047188324
35,35.0,2.396911810865761e-12,-2.0035733380545373e-10,-5.295222980663485e-11,-3.395006191296517e-11,535.3140801636252,5.90113197068004e-07,4.6213643866100414e-12,-4.18887248740985e-11,464.6859192465839,0.8,0.8000000000000014,0.8000000000000005,0.8000000000000003,0.37147131988700144,0.7999999998930172,0.8000000000000002,0.8000000000000007,0.4729731246640938,1273.6622886559999,505.32071462425336,252.61829868005296,222.52020681929554,-30.1052355357384,252.60983170888682,293.2394157224534,40.64745404545802,-212.06408032658388,116.93589906837776,115.41351736557239,114.64487420559786,116.26796784220349,116.35855796213792,115.59622454415839,116.05488744524372,115.93223745838428,116.57070188665446,10.000000005861349
