,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,Pi10,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,B10cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,Pf9x10,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Sell Price
20,20.0,1.7492691843328522e-09,-999.9999999999875,9.986439586887112e-11,1.9057994878929768e-09,1552.5964329747812,-8.327458238203103e-10,-1.841462421731497e-09,-7.294051781018491e-11,914.9804891844874,532.4230778397115,0.8,0.7028772586641204,0.8,0.8,0.4117677073183196,0.8,0.7999999999999998,0.8,0.5788424443193206,0.6546607378453788,-500.5674287480001,1299.9127621928878,149.94730419890013,-1102.6952586488542,-1252.6934256799484,150.01509174383276,-847.7055588932844,-997.6695249921258,-1147.5773683521988,-382.5054973017114,116.91344335590625,118.40249337517476,114.49546499282528,116.4636858612824,119.73168672264526,123.33921599972018,116.46348214403525,118.98376596972932,121.88316221625449,125.13516448097371,1.8564456638614502e-09
21,21.0,-8.857521240747067e-10,-1000.0,-1.6560207322050809e-09,-8.381811657859258e-10,1547.9329161221428,-1.094870402429461e-09,-2.5264747553295955e-09,-2.846722145159202e-10,915.712548716444,536.3545351749586,0.8000000000000055,0.7090500981702934,0.8000000000000103,0.8000000000000052,0.40221256586077553,0.8000000000000067,0.8000000000000155,0.8000000000000017,0.5731898977223056,0.6513499073813358,-430.36800038299975,1313.8917861389157,156.91003241265602,-1077.0897474892097,-1234.105359837048,156.9406335430949,-824.1535323815914,-981.1335329131178,-1138.0729926124025,-379.37091612995863,116.68161377388869,117.96548899210939,114.00058045064563,116.20999083636985,119.4099024090103,122.97397507339903,116.20989867217885,118.66611994150064,121.52547673248618,124.76014022971718,-9.137508527601312e-10
22,22.0,2.184342243165421e-09,-999.9999999963046,2.403534050533782e-09,8.874672336758053e-10,1543.4382142808179,1.8019822358707949e-09,3.842252455665849e-09,9.596560818652839e-10,916.3978043837209,540.1639813196865,0.799999999999992,0.7152229376764433,0.7999999999999954,0.7999999999999996,0.392685169476326,0.7999999999999956,0.7999999999999918,0.7999999999999958,0.5675331211520357,0.648015561817634,-360.6236509939998,1327.9855125849012,163.98370200059648,-1051.6446792815073,-1215.6552997136198,163.91059139219803,-800.8292510642092,-964.707177734367,-1128.6896748734073,-376.28620433368644,116.93360652397168,118.00807129344514,114.00138170912403,116.4417439894414,119.5609928814564,123.06823200403588,116.44196374472774,118.82470869509186,121.63308111236636,124.8386526413149,1.2330474419286475e-09
23,23.0,-6.015353104179761e-09,-1000.0,-3.2416974754894553e-09,-3.696298107346478e-10,1538.9293797275648,-1.4475805088791803e-09,-1.765138014075303e-09,-2.193713945531161e-09,917.0869804618387,543.9836398301136,0.8000000000000292,0.7213957771826163,0.8000000000000155,0.8000000000000019,0.38318560540393365,0.8000000000000045,0.8000000000000027,0.8000000000000095,0.561872090408444,0.644657638114979,-291.036570794,1341.8118608157256,170.9288632292417,-1026.2340689717478,-1197.0868378611174,170.98500517044764,-777.4663684409934,-948.2880079367585,-1119.1833999249523,-373.0752318191135,118.33948225433531,119.19714199501567,115.18980144619007,117.83285983104923,120.84265266967464,124.26144812751204,117.83269307201982,120.11981524508477,122.85182790690972,126.0,-7.958753656112094e-10
24,24.0,4.811824460128947e-09,-999.9999999997546,2.5523260676543363e-09,3.0488480791782955e-10,1534.4565019384322,7.596043353557892e-10,5.387208299941471e-10,1.5863900015676154e-09,917.7772421061798,547.7662559445885,0.7999999999999996,0.7275686166887875,0.7999999999999997,0.8,0.3737136516882643,0.7999999999999997,0.7999999999999994,0.7999999999999996,0.5562067987905047,0.641276364930136,-221.41453874299964,1355.8184616882022,177.92836854944767,-1000.8705756044968,-1178.746672618192,177.8769437932404,-754.1823544168933,-932.1090255143546,-1109.9175187927683,-370.00122627158845,117.44668414901432,118.10467304352707,114.01596761654346,116.91524177631297,119.87403039247853,123.26761875435739,116.9153957224756,119.15174109107633,121.85899114507282,125.00622378925726,6.581259981430776e-10
25,25.0,-1.364765543416668e-10,-1000.0,-1.0162957809529626e-10,-1.1711658866314131e-11,1530.032049503471,-7.9848353378516e-11,-1.8981515564209243e-10,-1.3526090022134162e-10,918.4205115075389,551.5474389897302,0.8000000000000004,0.7337414561949603,0.8000000000000004,0.8000000000000002,0.36426900940737866,0.8000000000000003,0.8000000000000005,0.8000000000000004,0.5505375363737915,0.6378717511092117,-152.52770303300008,1369.3977298331865,184.69725522610165,-975.7370405543793,-1160.457216854391,184.76060050807988,-730.9115398989439,-915.7173084641338,-1100.499217237269,-366.8322106767302,118.66904577927261,119.11805832150807,115.02405577705679,118.12304748652919,120.97962752419471,124.2915537262728,118.12285979355327,120.26906536485885,122.90504546055693,125.9999986179669,-2.857092340491363e-11
26,26.0,-1.300245874054052e-10,-1000.0,-5.362135675660348e-11,-1.1847575540265552e-11,1525.7289171269429,-4.4362165951501715e-11,-5.4537071160575165e-11,-7.248249292021082e-11,918.9813011335052,555.2897817403027,0.8000000000000013,0.7399142957011332,0.8000000000000007,0.8000000000000003,0.35485092967202714,0.8000000000000005,0.8000000000000008,0.8000000000000008,0.5448648122927204,0.6344440364071111,-83.25546596599997,1383.4433043104375,191.69929630505362,-950.7560468308866,-1142.3970927238984,191.6065998000444,-707.681258697681,-899.3557245487355,-1091.045346342808,-363.6716440183027,117.9242616548525,118.17110608358675,114.00000000000443,117.35391761431988,120.15602861367472,123.43884792526671,117.3541940749545,119.44615417865269,122.05299158666557,125.1425766783424,-1.858779796748422e-11
27,27.0,4.393339330463348e-10,-999.999999998796,3.617916707454116e-10,1.1609763516837073e-10,1521.2916690367815,2.9944666320888986e-10,5.9104954759098965e-06,3.472161674967339e-10,919.5992786653301,559.1090463846251,0.7999999999999985,0.7460871352072987,0.7999999999999984,0.7999999999999996,0.3454602403569853,0.7999999999999986,0.7999999999635163,0.7999999999999986,0.5391882735355271,0.6309927459973295,-14.32731458599983,1397.0174879424344,198.48579517763818,-925.485537556197,-1124.098754248081,198.59492093070054,-684.4692539007979,-883.0176894773024,-1081.5604793839552,-360.49458394262507,118.9986691047802,119.0408012780457,114.85991523311898,118.41344177112936,121.11805426273749,124.32398077757594,118.41311922273417,120.41924797052359,122.9589674013269,125.9999999999849,1.1839090063858748e-07
28,28.0,-9.06736497043739e-11,-999.999999998578,-1.4356794805814473e-10,-4.9615457178412144e-11,1516.4900864536785,5.355025674280305e-11,-5.910285079779091e-06,-6.688354730203357e-11,920.5268988904938,562.9830205649879,0.799999999999999,0.7522599747134628,0.7999999999999994,0.7999999999999998,0.3360991904406046,0.7999999999999984,0.7999999999999996,0.799999999999999,0.533506008727561,0.6275175421666814,54.07996330900005,1410.8064530337215,205.4218146421436,-900.2085325546825,-1105.6203839357322,205.44391540194647,-661.8516284491296,-867.2185374634147,-1072.6166961214815,-357.5672472989878,118.41989807397226,118.25995216274053,114.0081215019793,117.81119212367084,120.45589633716051,123.62668494764296,117.81112646549398,119.76125274471292,122.2694182336998,125.30220398098525,-1.1823573586866587e-07
29,29.0,-1.596568856122298e-10,-1000.0,-1.3335975365637965e-10,-3.9464781992412136e-11,1512.0680847635972,-3.961222221513049e-10,-1.4650332693985298e-10,-1.5089482258425394e-10,921.2080107770628,566.7239044613513,0.8,0.7584328142196357,0.8000000000000002,0.8000000000000002,0.32676543683095277,0.8000000000000008,0.8000000000000005,0.8,0.5278195395252335,0.62401924646013,122.36965019200034,1424.4783736941192,212.24482382413336,-875.3250445111619,-1087.4833701872012,212.30593088139614,-638.9348021861166,-851.1892145562631,-1063.449157033414,-354.50285842435125,118.72017861941221,118.35886978292221,114.06878273526397,118.09280009699256,120.65917688226644,123.77348393350289,118.09261898953787,119.97133416503479,122.42938156965356,125.43272253065074,-5.1169735115763615e-11
